t,field,value,color,status,reason,raw
13.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
14.0,SPEED,9.6,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
14.0,POWER,153,NEUTRAL,OK,power_present,{age_s=0.0}
14.0,HR,108,NEUTRAL,OK,hr_present,{age_s=0.0}
14.0,CADENCE,31,AMBER,OK,outside_preferred_band,{age_s=0.0}
14.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
14.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
14.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
14.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
15.0,SPEED,10.5,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
15.0,POWER,185,NEUTRAL,OK,power_present,{age_s=0.0}
15.0,HR,108,NEUTRAL,OK,hr_present,{age_s=0.0}
15.0,CADENCE,39,AMBER,OK,outside_preferred_band,{age_s=0.0}
15.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
15.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
15.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
15.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
16.0,SPEED,11.1,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
16.0,POWER,185,NEUTRAL,OK,power_present,{age_s=0.0}
16.0,HR,109,NEUTRAL,OK,hr_present,{age_s=0.0}
16.0,CADENCE,39,AMBER,OK,outside_preferred_band,{age_s=0.0}
16.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
16.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
16.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
16.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
17.0,SPEED,11.4,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
17.0,POWER,99,NEUTRAL,OK,power_present,{age_s=0.0}
