t,field,value,color,status,reason,raw
21.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
21.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
21.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
21.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
21.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
21.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
22.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
22.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
22.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
22.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
22.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
22.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
23.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
23.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
23.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
23.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
23.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
23.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
24.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
24.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
24.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
24.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
24.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
24.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
25.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
25.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
25.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
25.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
25.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
25.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
26.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
26.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
26.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
26.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
26.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
26.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
27.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
27.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
27.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
27.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
27.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
27.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
28.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
28.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
28.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
28.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
28.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
28.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
29.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
29.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
29.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
29.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
29.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
29.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
